,SignalID,Direction,Det_Channel,Phase,Traffic_Count,Movement,DistanceFromStopBar,Volume,Stop_bar,Max_AOR,Max_AOR1,Total_Volume,Volume_Movement,Primary_Name,Secondary_Name,Switch,Delay,Lock,Src,modified_distance
442,1585,999,1,1,189642,EL,0,1,1,3,2,430199,EL,SR436,Oxford,999,999,999,999,0
443,1585,999,2,2,1797041,WT,0,1,1,2,2,4089974,WT,SR436,Oxford,999,999,999,999,0
444,1585,999,3,2,1824496,WT,0,1,1,2,2,4091815,WT,SR436,Oxford,999,999,999,999,0
445,1585,999,4,2,2006055,WT,0,1,1,2,2,4473030,WT,SR436,Oxford,999,999,999,999,0
446,1585,999,5,2,216218,WT,0,1,1,4,4,513040,WR,SR436,Oxford,999,999,999,999,0
447,1585,999,6,2,1816331,WT,170,2,0,7,7,4146940,WT,SR436,Oxford,999,999,999,999,175
448,1585,999,7,2,1573496,WT,170,2,0,36,21,3515462,WT,SR436,Oxford,999,999,999,999,900
449,1585,999,8,2,2058253,WT,170,2,0,7,7,4605079,WT,SR436,Oxford,999,999,999,999,175
450,1585,Westbound,9,2,2032197,WT,330,3,0,14,15,4635909,WT,SR436,Oxford,999,999,999,999,350
451,1585,Westbound,10,2,1927826,WT,330,3,0,14,13,4329772,WT,SR436,Oxford,999,999,999,999,350
452,1585,Westbound,11,2,2246130,WT,330,3,0,13,14,5057163,WT,SR436,Oxford,999,999,999,999,325
453,1585,999,12,3,364642,SL,170,1,0,7,17,813239,SL,SR436,Oxford,8,999,999,999,175
454,1585,999,13,4,221582,NT,0,1,1,2,2,469839,NT,SR436,Oxford,999,999,999,999,0
455,1585,999,14,4,274563,NT,0,1,1,8,8,613649,NR,SR436,Oxford,999,5,999,999,0
456,1585,999,15,5,251103,WL,0,1,1,2,2,551209,WL,SR436,Oxford,999,999,999,999,0
457,1585,999,16,6,1998610,ET,0,1,1,2,3,4507574,ET,SR436,Oxford,999,999,999,999,0
458,1585,999,17,6,2071887,ET,0,1,1,2,3,4668561,ET,SR436,Oxford,999,999,999,999,0
459,1585,999,18,6,1613543,ET,0,1,1,3,4,3557170,ET,SR436,Oxford,999,999,999,999,0
460,1585,999,19,6,2003173,ET,170,2,0,7,7,4531049,ET,SR436,Oxford,999,999,999,999,175
461,1585,999,20,6,2095321,ET,170,2,0,7,7,4737454,ET,SR436,Oxford,999,999,999,999,175
462,1585,999,21,6,1632441,ET,170,2,0,7,8,3611699,ET,SR436,Oxford,999,999,999,999,175
463,1585,Eastbound,22,6,2129975,ET,330,3,0,13,14,4812443,ET,SR436,Oxford,999,999,999,999,325
464,1585,Eastbound,23,6,2122850,ET,330,3,0,13,13,4801720,ET,SR436,Oxford,999,999,999,999,325
465,1585,Eastbound,24,6,1775056,ET,330,3,0,12,13,3938925,ET,SR436,Oxford,999,999,999,999,300
466,1585,999,25,7,270331,NL,170,1,0,8,7,562473,NL,SR436,Oxford,4,999,999,999,200
467,1585,999,26,8,332514,ST,0,1,1,2,8,736818,ST,SR436,Oxford,999,999,999,999,0
468,1585,999,27,8,250491,ST,0,1,1,6,7,563433,SR,SR436,Oxford,999,5,999,999,0
469,1590,999,1,1,34742,EL,0,1,1,1,2,72469,EL,SR436,FernPk,999,999,999,999,0
470,1590,999,2,2,2368855,WT,170,1,0,7,6,5039925,WT,SR436,FernPk,999,999,999,999,175
471,1590,999,3,2,2463492,WT,170,1,0,6,6,5218813,WT,SR436,FernPk,999,999,999,999,150
472,1590,999,4,2,2654597,WT,170,1,0,7,6,5646272,WT,SR436,FernPk,999,999,999,999,175
473,1590,Westbound,5,2,2436360,WT,330,2,0,13,12,5203065,WT,SR436,FernPk,999,999,999,999,325
474,1590,Westbound,6,2,2516549,WT,330,2,0,13,12,5350497,WT,SR436,FernPk,999,999,999,999,325
475,1590,Westbound,7,2,2690032,WT,330,2,0,13,12,5748062,WT,SR436,FernPk,999,999,999,999,325
476,1590,999,8,8,15415,ST,0,1,1,1,2,31949,SL,SR436,FernPk,999,1.5,999,999,0
477,1590,999,9,4,384364,NT,0,1,1,9,14,731876,NT_NR,SR436,FernPk,999,12,999,999,0
478,1590,999,10,5,207230,WL,0,1,1,2,2,392929,WL,SR436,FernPk,999,999,999,999,0
479,1590,999,11,6,2776816,ET,170,1,0,7,6,5925081,ET,SR436,FernPk,999,999,999,999,175
480,1590,999,12,6,2527172,ET,170,1,0,6,6,5387089,ET,SR436,FernPk,999,999,999,999,150
481,1590,999,13,6,1785559,ET,170,1,0,6,6,3845432,ET,SR436,FernPk,999,999,999,999,150
482,1590,Eastbound,14,6,2800009,ET,330,2,0,13,13,5995335,ET,SR436,FernPk,999,999,999,999,325
483,1590,Eastbound,15,6,2592212,ET,330,2,0,12,12,5545147,ET,SR436,FernPk,999,999,999,999,300
484,1590,Eastbound,16,6,1895591,ET,330,2,0,11,12,4057516,ET,SR436,FernPk,999,999,999,999,275
485,1590,999,17,4,135519,NT,0,1,1,2,3,235447,NL,SR436,FernPk,999,1.5,999,999,0
486,1590,999,18,8,19272,ST,0,1,1,1,2,39574,ST_SR,SR436,FernPk,999,12,999,999,0
487,1595,999,1,1,99173,EL,0,1,1,2,2,212253,EL,SR436,Wilshire,999,999,999,999,0
488,1595,999,2,2,5266442,WT,999,3,999,10,999,999,WT,SR436,Wilshire,999,999,999,999,
489,1595,Westbound,3,2,2413510,WT,330,1,0,11,12,5185927,WT,SR436,Wilshire,999,999,999,999,275
490,1595,Westbound,4,2,2176243,WT,330,1,0,11,12,4627185,WT,SR436,Wilshire,999,999,999,999,275
491,1595,Westbound,5,2,2669012,WT,330,1,0,11,12,5772194,WT,SR436,Wilshire,999,999,999,999,275
492,1595,999,6,8,39839,ST,0,1,1,2,2,85371,SL,SR436,Wilshire,999,999,999,999,0
493,1595,999,7,4,134626,NT,0,1,1,4,5,280449,NT_NR,SR436,Wilshire,999,999,999,999,0
494,1595,999,8,5,130946,WL,0,1,1,2,2,278546,WL,SR436,Wilshire,999,999,999,999,0
495,1595,999,9,6,3373045,ET,999,3,999,12,999,999,ET,SR436,Wilshire,999,999,999,999,
496,1595,999,10,6,2949437,ET,999,3,999,11,999,999,ET,SR436,Wilshire,999,999,999,999,
497,1595,Eastbound,11,6,1261989,ET,330,1,0,13,13,2708078,ET,SR436,Wilshire,999,999,999,999,325
498,1595,Eastbound,12,6,2127940,ET,330,1,0,15,14,4585900,ET,SR436,Wilshire,999,999,999,999,375
499,1595,Eastbound,13,6,2134303,ET,330,1,0,13,14,4618905,ET,SR436,Wilshire,999,999,999,999,325
500,1595,Eastbound,14,6,2069906,ET,330,1,0,14,14,4450859,ET,SR436,Wilshire,999,999,999,999,350
501,1595,999,15,4,118825,NT,0,1,1,2,2,250718,NL,SR436,Wilshire,999,999,999,999,0
502,1595,999,16,8,168659,ST,0,1,1,4,5,359681,ST_SR,SR436,Wilshire,999,999,999,999,0
503,1600,999,1,1,75850,EL,0,1,1,2,2,158891,EL,SR436,Kewannee,999,999,999,999,0
504,1600,999,2,2,2175932,WT,170,1,0,7,7,4625096,WT,SR436,Kewannee,999,999,999,999,175
505,1600,999,3,2,2272546,WT,170,1,0,6,7,4845279,WT,SR436,Kewannee,999,999,999,999,150
506,1600,999,4,2,2326813,WT,170,1,0,7,7,5002873,WT,SR436,Kewannee,999,999,999,999,175
507,1600,999,5,2,700134,WT,170,1,0,6,6,1494733,WT,SR436,Kewannee,999,999,999,999,150
508,1600,Westbound,6,2,2254842,WT,330,2,0,13,13,4816872,WT,SR436,Kewannee,999,999,999,999,325
509,1600,Westbound,7,2,2260225,WT,330,2,0,13,13,4845104,WT,SR436,Kewannee,999,999,999,999,325
510,1600,Westbound,8,2,2340350,WT,330,2,0,13,13,5064095,WT,SR436,Kewannee,999,999,999,999,325
511,1600,Westbound,9,2,721110,WT,330,2,0,8,10,1562545,WT,SR436,Kewannee,999,999,999,999,200
512,1600,999,10,8,90196,ST,0,1,1,2,2,189437,SL_ST,SR436,Kewannee,999,999,999,999,0
513,1600,999,11,4,77596,NT,170,1,0,999,5,227659,NL_NT,SR436,Kewannee,999,999,999,999,24975
514,1600,999,12,5,93047,WL,0,1,1,2,2,199911,WL,SR436,Kewannee,999,999,999,999,0
515,1600,999,13,6,1177594,ET,170,1,0,6,6,2543053,ET,SR436,Kewannee,999,999,999,999,150
516,1600,999,14,6,1810607,ET,170,1,0,7,6,3901129,ET,SR436,Kewannee,999,999,999,999,175
517,1600,999,15,6,1456359,ET,170,1,0,6,6,3138032,ET,SR436,Kewannee,999,999,999,999,150
518,1600,999,16,6,430436,ET,170,1,0,5,6,920703,ET,SR436,Kewannee,999,999,999,999,125
519,1600,Eastbound,17,6,1185255,ET,330,2,0,12,10,2566193,ET,SR436,Kewannee,999,999,999,999,300
520,1600,Eastbound,18,6,1838964,ET,330,2,0,12,12,3984808,ET,SR436,Kewannee,999,999,999,999,300
