,SignalID,Direction,Det_Channel,Phase,Traffic_Count,Movement,DistanceFromStopBar,Volume,Stop_bar,Volume_Movement,Primary_Name,Secondary_Name,Switch,Delay,Lock,Src,Max_AOR
0,1230,999,1,1,378346,EL,999.0,1.0,999.0,EL,SR434,ELkBrantley,2.0,999.0,999.0,999.0,999.0
1,1230,999,2,2,2824856,WT,999.0,1.0,999.0,WT,SR434,ELkBrantley,999.0,999.0,999.0,999.0,999.0
2,1230,Westbound,3,2,2949128,WT,330.0,2.0,999.0,WT,SR434,ELkBrantley,999.0,999.0,999.0,999.0,999.0
3,1230,999,4,8,122755,ST,999.0,1.0,999.0,SL_ST,SR434,ELkBrantley,999.0,2.0,1.0,999.0,999.0
4,1230,999,5,4,158568,NT,999.0,1.0,999.0,NR,SR434,ELkBrantley,999.0,6.0,999.0,999.0,999.0
5,1230,999,6,5,72950,WL,999.0,1.0,999.0,WL,SR434,ELkBrantley,6.0,999.0,999.0,999.0,999.0
6,1230,999,7,6,2644464,ET,999.0,1.0,999.0,ET,SR434,ELkBrantley,999.0,999.0,999.0,999.0,999.0
7,1230,Eastbound,8,6,3173919,ET,330.0,2.0,999.0,ET,SR434,ELkBrantley,999.0,999.0,999.0,999.0,999.0
8,1230,999,9,4,119952,NT,999.0,1.0,999.0,NL_NT,SR434,ELkBrantley,999.0,2.0,999.0,999.0,999.0
9,1230,999,10,8,338940,ST,999.0,1.0,999.0,SR,SR434,ELkBrantley,999.0,12.0,999.0,999.0,999.0
10,1240,999,1,1,100029,EL,999.0,1.0,1.0,EL,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
11,1240,999,2,2,701248,WT,170.0,1.0,0.0,WT,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
12,1240,999,3,2,1565802,WT,170.0,1.0,0.0,WT,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
13,1240,999,4,2,1187825,WT,170.0,1.0,0.0,WT,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
14,1240,Westbound,5,2,1188167,WT,330.0,2.0,0.0,WT,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
15,1240,Westbound,6,2,1738641,WT,330.0,2.0,0.0,WT,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
16,1240,Westbound,7,2,1282137,WT,330.0,2.0,0.0,WT,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
17,1240,999,8,3,661872,SL,999.0,1.0,1.0,SL,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
18,1240,999,9,3,766513,SL,999.0,1.0,1.0,SL,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
19,1240,999,10,4,263539,NT,999.0,1.0,1.0,NT,SR434,Montgomery (ADT),999.0,999.0,1.0,999.0,999.0
20,1240,999,11,4,227973,NT,999.0,1.0,1.0,NT,SR434,Montgomery (ADT),999.0,999.0,1.0,999.0,999.0
21,1240,999,12,4,510592,NT,999.0,1.0,1.0,NR,SR434,Montgomery (ADT),999.0,12.0,999.0,999.0,999.0
22,1240,999,13,5,159890,WL,999.0,1.0,1.0,WL,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
23,1240,999,14,5,263284,WL,999.0,1.0,1.0,WL,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
24,1240,999,15,6,1101076,ET,170.0,1.0,0.0,ET,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
25,1240,999,16,6,1047374,ET,170.0,1.0,0.0,ET,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
26,1240,999,17,6,959213,ET,170.0,1.0,0.0,ET,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
27,1240,Eastbound,18,6,1187608,ET,330.0,2.0,0.0,ET,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
28,1240,Eastbound,19,6,1049234,ET,330.0,2.0,0.0,ET,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
29,1240,Eastbound,20,6,1351766,ET,330.0,2.0,0.0,ET,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
30,1240,999,21,7,84538,NL,999.0,1.0,1.0,NL,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
31,1240,999,22,7,182857,NL,999.0,1.0,1.0,NL,SR434,Montgomery (ADT),999.0,999.0,999.0,999.0,999.0
32,1240,999,23,8,347017,ST,999.0,1.0,1.0,ST,SR434,Montgomery (ADT),999.0,999.0,1.0,999.0,999.0
33,1240,999,24,8,415765,ST,999.0,1.0,1.0,ST_SR,SR434,Montgomery (ADT),999.0,999.0,1.0,999.0,999.0
